,City,Colors Reported,Shape Reported,State,Time,Location
16594,Casper,,OVAL,WY,6/13/2000 22:00,"Casper , WY"
16595,Creaston,,LIGHT,CA,6/13/2000 22:00,"Creaston , CA"
16596,Prineville,,RECTANGLE,OR,6/14/2000 2:30,"Prineville , OR"
16597,Greenfield,,OTHER,IL,6/14/2000 19:30,"Greenfield , IL"
16598,Green Ridge,,LIGHT,MO,6/14/2000 21:00,"Green Ridge , MO"
16599,Greenfield,,CHEVRON,IL,6/14/2000 21:30,"Greenfield , IL"
16600,Ventura,,CIRCLE,CA,6/14/2000 22:00,"Ventura , CA"
16601,Ravenna,,LIGHT,MI,6/14/2000 22:40,"Ravenna , MI"
16602,Blue Springs,,FIREBALL,MO,6/14/2000 23:45,"Blue Springs , MO"
16603,Eugene,,TRIANGLE,OR,6/15/2000 2:00,"Eugene , OR"
16604,Oakdale,,CIRCLE,MN,6/15/2000 2:00,"Oakdale , MN"
16605,Los Angeles,,,CA,6/15/2000 3:00,"Los Angeles , CA"
16606,Dayton,,OTHER,OH,6/15/2000 5:00,"Dayton , OH"
16607,Lincoln Park,,OTHER,MI,6/15/2000 12:28,"Lincoln Park , MI"
16608,,,SPHERE,NY,6/15/2000 15:00,
16609,Sault Ste. Marie,,SPHERE,MI,6/15/2000 17:30,"Sault Ste. Marie , MI"
16610,Caarthage,,TRIANGLE,MS,6/15/2000 17:45,"Caarthage , MS"
16611,Chanhassen,ORANGE,DISK,MN,6/15/2000 18:30,"Chanhassen , MN"
16612,Findlay,,OVAL,OH,6/15/2000 21:00,"Findlay , OH"
16613,Stratford,,TRIANGLE,TX,6/15/2000 21:00,"Stratford , TX"
16614,Cape May Court House,,LIGHT,NJ,6/15/2000 22:00,"Cape May Court House , NJ"
16615,Solon,,CIRCLE,OH,6/15/2000 22:00,"Solon , OH"
16616,Millville,,TRIANGLE,NJ,6/15/2000 23:00,"Millville , NJ"
16617,Sparks,,LIGHT,NV,6/15/2000 23:00,"Sparks , NV"
16618,Seattle,ORANGE BLUE,OTHER,WA,6/15/2000 23:11,"Seattle , WA"
16619,Ringwood,,LIGHT,IL,6/15/2000 23:45,"Ringwood , IL"
16620,Redlands,,LIGHT,CA,6/16/2000 0:05,"Redlands , CA"
16621,Portland,,,OR,6/16/2000 2:00,"Portland , OR"
16622,Cannonsburgh,,FIREBALL,PA,6/16/2000 13:23,"Cannonsburgh , PA"
16623,Saratoga,BLUE,OVAL,NY,6/16/2000 14:00,"Saratoga , NY"
16624,Cahokia,GREEN BLUE,TRIANGLE,IL,6/16/2000 21:45,"Cahokia , IL"
16625,St. Louis,,OTHER,MO,6/16/2000 23:30,"St. Louis , MO"
16626,Atlantic Ocean,,,NC,6/17/2000 0:35,"Atlantic Ocean , NC"
16627,Sheboygan,,,WI,6/17/2000 2:50,"Sheboygan , WI"
16628,Tualatin,,DISK,OR,6/17/2000 16:00,"Tualatin , OR"
16629,Sierra Madre,,SPHERE,CA,6/17/2000 17:30,"Sierra Madre , CA"
16630,Farmington Hills,,VARIOUS,MI,6/17/2000 21:40,"Farmington Hills , MI"
16631,Robstown,,SPHERE,TX,6/17/2000 22:00,"Robstown , TX"
16632,Spanish Fork,,SPHERE,UT,6/17/2000 22:52,"Spanish Fork , UT"
16633,Sunnyside,,LIGHT,NY,6/18/2000 4:30,"Sunnyside , NY"
16634,West Branch,,OVAL,IA,6/18/2000 10:45,"West Branch , IA"
16635,Monroe,,RECTANGLE,NY,6/18/2000 23:06,"Monroe , NY"
16636,Clearlake,,CIRCLE,CA,6/19/2000 1:30,"Clearlake , CA"
16637,Rawlins,,DISK,WY,6/19/2000 13:00,"Rawlins , WY"
16638,New York City,RED,TRIANGLE,NY,6/19/2000 18:30,"New York City , NY"
16639,Santa Monica,,TRIANGLE,CA,6/19/2000 21:40,"Santa Monica , CA"
16640,Harrison,,LIGHT,OH,6/19/2000 21:52,"Harrison , OH"
16641,Fort Wayne,ORANGE,OTHER,IN,6/19/2000 23:10,"Fort Wayne , IN"
16642,Yosemite,,TRIANGLE,CA,6/19/2000 23:50,"Yosemite , CA"
16643,Clifton,,OTHER,NJ,6/20/2000 0:00,"Clifton , NJ"
16644,Willard Bay,ORANGE,LIGHT,UT,6/20/2000 0:00,"Willard Bay , UT"
16645,Yakima,YELLOW,LIGHT,WA,6/20/2000 1:25,"Yakima , WA"
16646,Salida,,TRIANGLE,CA,6/20/2000 20:00,"Salida , CA"
16647,Stetson,YELLOW,LIGHT,ME,6/20/2000 20:00,"Stetson , ME"
16648,Lebanon,RED BLUE,FIREBALL,VA,6/20/2000 21:43,"Lebanon , VA"
16649,Church Hill,,FLASH,TN,6/20/2000 21:50,"Church Hill , TN"
16650,Colorado Springs,,,CO,6/20/2000 22:00,"Colorado Springs , CO"
16651,Revere,,DISK,MA,6/20/2000 22:00,"Revere , MA"
16652,Tifton,,,GA,6/20/2000 22:00,"Tifton , GA"
16653,Raymondville,,CIRCLE,MO,6/20/2000 22:15,"Raymondville , MO"
16654,Salem,ORANGE,VARIOUS,OR,6/20/2000 22:25,"Salem , OR"
16655,Highway 5?,,RECTANGLE,CA,6/20/2000 23:00,"Highway 5? , CA"
16656,Ware Shoals,,,SC,6/20/2000 23:00,"Ware Shoals , SC"
16657,Portland,,CIGAR,OR,6/21/2000 15:30,"Portland , OR"
16658,Glendale,RED,VARIOUS,CO,6/21/2000 16:50,"Glendale , CO"
16659,St. Peter,YELLOW GREEN,CIRCLE,MN,6/21/2000 23:15,"St. Peter , MN"
16660,Sophia,,,WV,6/22/2000 9:30,"Sophia , WV"
16661,Tupelo,,DISK,MS,6/22/2000 17:30,"Tupelo , MS"
16662,Pine Haven,,EGG,WY,6/22/2000 21:00,"Pine Haven , WY"
16663,Providence,,EGG,RI,6/22/2000 21:30,"Providence , RI"
16664,Green Bay,,LIGHT,WI,6/22/2000 22:35,"Green Bay , WI"
16665,Georgetown,,LIGHT,DE,6/22/2000 23:00,"Georgetown , DE"
16666,Huntington Beach,,OTHER,CA,6/23/2000 0:00,"Huntington Beach , CA"
16667,Blackfoot,RED,LIGHT,ID,6/23/2000 0:15,"Blackfoot , ID"
16668,Pinedale,,DIAMOND,WY,6/23/2000 8:00,"Pinedale , WY"
16669,San Francisco,,CIRCLE,CA,6/23/2000 15:30,"San Francisco , CA"
16670,Tacoma,,OTHER,WA,6/23/2000 21:00,"Tacoma , WA"
16671,Tacoma,,LIGHT,WA,6/23/2000 21:30,"Tacoma , WA"
16672,Scottsdale,,LIGHT,AZ,6/23/2000 21:45,"Scottsdale , AZ"
16673,Morrilton,,RECTANGLE,AR,6/23/2000 22:00,"Morrilton , AR"
16674,Magna,,CIRCLE,UT,6/23/2000 22:30,"Magna , UT"
16675,Canyon,BLUE,,TX,6/23/2000 22:40,"Canyon , TX"
16676,Magna,,CIRCLE,UT,6/23/2000 22:45,"Magna , UT"
16677,Federal Way,,SPHERE,WA,6/24/2000 12:50,"Federal Way , WA"
16678,North Fork,,LIGHT,CA,6/24/2000 21:24,"North Fork , CA"
16679,Olathe,,LIGHT,KS,6/24/2000 21:44,"Olathe , KS"
16680,Hurricane,,FORMATION,WV,6/24/2000 22:00,"Hurricane , WV"
16681,Wintersville,,CYLINDER,OH,6/24/2000 22:15,"Wintersville , OH"
16682,Hazlet,,CIRCLE,NJ,6/24/2000 22:35,"Hazlet , NJ"
16683,Redmond,,CHEVRON,WA,6/24/2000 22:45,"Redmond , WA"
16684,Shelby Township,,TRIANGLE,MI,6/24/2000 23:30,"Shelby Township , MI"
16685,Dallas,,DIAMOND,TX,6/25/2000 0:24,"Dallas , TX"
16686,Cranston,,,RI,6/25/2000 2:25,"Cranston , RI"
16687,Aloha,,CIGAR,OR,6/25/2000 19:15,"Aloha , OR"
16688,New York City,,OVAL,NY,6/25/2000 19:30,"New York City , NY"
16689,Little Chute,,FIREBALL,WI,6/25/2000 21:00,"Little Chute , WI"
16690,Orange,ORANGE,LIGHT,CA,6/25/2000 21:23,"Orange , CA"
16691,Salt Lake City,,LIGHT,UT,6/25/2000 22:40,"Salt Lake City , UT"
16692,Bozeman,,LIGHT,MT,6/26/2000 0:15,"Bozeman , MT"
16693,Los Angeles,,,CA,6/26/2000 0:22,"Los Angeles , CA"
16694,Sandy,,,OR,6/26/2000 18:35,"Sandy , OR"
16695,San Diego,BLUE,LIGHT,CA,6/26/2000 21:30,"San Diego , CA"
16696,St. George,,LIGHT,UT,6/26/2000 22:00,"St. George , UT"
16697,Otis,,,OR,6/26/2000 22:20,"Otis , OR"
16698,Sedro Woolley,,LIGHT,WA,6/26/2000 22:25,"Sedro Woolley , WA"
16699,Blackstone,,LIGHT,VA,6/26/2000 22:35,"Blackstone , VA"
16700,Las Vegas,,LIGHT,NV,6/26/2000 22:40,"Las Vegas , NV"
16701,Gresham,,OTHER,OR,6/26/2000 23:04,"Gresham , OR"
16702,Chicago,,OVAL,IL,6/26/2000 23:20,"Chicago , IL"
16703,West Chazy,ORANGE,,NY,6/27/2000 0:03,"West Chazy , NY"
16704,Interstate 5,RED,OTHER,CA,6/27/2000 21:00,"Interstate 5 , CA"
16705,Fallbrook,,LIGHT,CA,6/27/2000 21:30,"Fallbrook , CA"
16706,Apache Junction,,LIGHT,AZ,6/27/2000 21:40,"Apache Junction , AZ"
16707,Bakersfield,,FIREBALL,CA,6/27/2000 21:50,"Bakersfield , CA"
16708,Moab,,CIRCLE,UT,6/27/2000 22:00,"Moab , UT"
16709,Boston,,LIGHT,MA,6/27/2000 22:40,"Boston , MA"
16710,Sewell,,TRIANGLE,NJ,6/27/2000 22:50,"Sewell , NJ"
16711,Newmarket,,OVAL,NH,6/28/2000 1:00,"Newmarket , NH"
16712,Albuquerque,,LIGHT,NM,6/28/2000 2:00,"Albuquerque , NM"
16713,St. Louis,,TRIANGLE,MO,6/28/2000 16:11,"St. Louis , MO"
16714,Monticello,,LIGHT,FL,6/28/2000 22:03,"Monticello , FL"
16715,Chico,,CIRCLE,CA,6/29/2000 0:10,"Chico , CA"
16716,Paso Robles,,LIGHT,CA,6/29/2000 1:00,"Paso Robles , CA"
16717,Minneapolis,,SPHERE,MN,6/29/2000 21:00,"Minneapolis , MN"
16718,Jefferson City,,TRIANGLE,MO,6/29/2000 21:30,"Jefferson City , MO"
16719,DeSoto,,OTHER,IL,6/29/2000 22:30,"DeSoto , IL"
16720,Penn Valley,YELLOW,CIRCLE,CA,6/29/2000 23:50,"Penn Valley , CA"
16721,Ewa Beach,,TRIANGLE,HI,6/30/2000 0:00,"Ewa Beach , HI"
16722,Indianapolis,,,IN,6/30/2000 0:00,"Indianapolis , IN"
16723,Myers Spring Canyon,,CIRCLE,TX,6/30/2000 0:00,"Myers Spring Canyon , TX"
16724,Las Vegas,,TRIANGLE,NV,6/30/2000 2:30,"Las Vegas , NV"
16725,Orlando,,RECTANGLE,FL,6/30/2000 13:00,"Orlando , FL"
16726,Morrison,,RECTANGLE,CO,6/30/2000 14:00,"Morrison , CO"
16727,Springboro,,CIRCLE,PA,6/30/2000 15:00,"Springboro , PA"
16728,Wantage,YELLOW,CIRCLE,NJ,6/30/2000 17:00,"Wantage , NJ"
16729,West Gardiner,,CIGAR,ME,6/30/2000 19:00,"West Gardiner , ME"
16730,Mountain Home AFB,,TRIANGLE,ID,6/30/2000 19:30,"Mountain Home AFB , ID"
16731,Bennington,,OTHER,VT,6/30/2000 20:00,"Bennington , VT"
16732,New Port Richey,,CIRCLE,FL,6/30/2000 20:00,"New Port Richey , FL"
16733,Austin,,CYLINDER,TX,6/30/2000 20:30,"Austin , TX"
16734,Lincoln,,FORMATION,NE,6/30/2000 21:30,"Lincoln , NE"
16735,Sycamore,,TRIANGLE,OH,6/30/2000 21:35,"Sycamore , OH"
16736,Ogden,ORANGE,SPHERE,UT,6/30/2000 21:40,"Ogden , UT"
16737,Bedford,,LIGHT,NY,6/30/2000 22:00,"Bedford , NY"
16738,Buffalo,,TRIANGLE,NY,6/30/2000 22:00,"Buffalo , NY"
16739,Hollister,,CIRCLE,CA,6/30/2000 22:00,"Hollister , CA"
16740,Paso Robles,,FORMATION,CA,6/30/2000 22:30,"Paso Robles , CA"
16741,St. Paul,,CIRCLE,MN,6/30/2000 22:40,"St. Paul , MN"
16742,George,GREEN,LIGHT,WA,7/1/2000 0:10,"George , WA"
16743,Santa Rosa,,SPHERE,CA,7/1/2000 1:00,"Santa Rosa , CA"
16744,Bismarck,,LIGHT,ND,7/1/2000 2:30,"Bismarck , ND"
16745,Crystal Beach,,TRIANGLE,TX,7/1/2000 3:00,"Crystal Beach , TX"
16746,Midland,,LIGHT,MI,7/1/2000 3:11,"Midland , MI"
16747,Baker,,CIGAR,CA,7/1/2000 3:30,"Baker , CA"
16748,Baker,,CIGAR,CA,7/1/2000 3:30,"Baker , CA"
16749,Ojai,,TRIANGLE,CA,7/1/2000 3:50,"Ojai , CA"
16750,"Tylertown, MS",,LIGHT,MS,7/1/2000 4:00,"Tylertown, MS , MS"
16751,San Pedro,,OVAL,CA,7/1/2000 11:45,"San Pedro , CA"
16752,Ponca,,LIGHT,OK,7/1/2000 14:00,"Ponca , OK"
16753,Defiance,,CROSS,OH,7/1/2000 15:00,"Defiance , OH"
16754,Ogden,,OVAL,UT,7/1/2000 16:00,"Ogden , UT"
16755,Waco,,CIRCLE,TX,7/1/2000 17:00,"Waco , TX"
16756,Bellingham,,TRIANGLE,WA,7/1/2000 19:00,"Bellingham , WA"
16757,Stockton,,DISK,CA,7/1/2000 19:00,"Stockton , CA"
16758,Phoenix,,FORMATION,AZ,7/1/2000 21:00,"Phoenix , AZ"
16759,Sewell,,RECTANGLE,NJ,7/1/2000 21:00,"Sewell , NJ"
16760,Montgomery Pass,GREEN,OVAL,NV,7/1/2000 22:00,"Montgomery Pass , NV"
16761,Palmyra,,,NY,7/1/2000 22:00,"Palmyra , NY"
16762,New York City,,TRIANGLE,NY,7/1/2000 22:15,"New York City , NY"
16763,San Jose,,FIREBALL,CA,7/1/2000 22:15,"San Jose , CA"
16764,Salinas,,FIREBALL,CA,7/1/2000 22:30,"Salinas , CA"
16765,Sierra Nevada Mtns,,,CA,7/1/2000 22:30,"Sierra Nevada Mtns , CA"
16766,Lancaster,,DISK,CA,7/1/2000 22:50,"Lancaster , CA"
16767,Orcas Island,,FORMATION,WA,7/2/2000 0:30,"Orcas Island , WA"
16768,Land Between The Lakes,,TRIANGLE,KY,7/2/2000 1:20,"Land Between The Lakes , KY"
16769,Largo,,CIGAR,FL,7/2/2000 13:30,"Largo , FL"
16770,Mount Pleasant,RED,CIRCLE,SC,7/2/2000 21:15,"Mount Pleasant , SC"
16771,East Windsor,,OVAL,NJ,7/2/2000 21:45,"East Windsor , NJ"
16772,West Fork,,LIGHT,AR,7/2/2000 22:00,"West Fork , AR"
16773,West Windsor,,DISK,NJ,7/2/2000 22:10,"West Windsor , NJ"
16774,Ice House Campground,,FORMATION,CA,7/2/2000 22:30,"Ice House Campground , CA"
16775,Kewaunee,ORANGE,DISK,WI,7/3/2000 1:00,"Kewaunee , WI"
16776,Dedham,,,MA,7/3/2000 2:45,"Dedham , MA"
16777,Las Vegas,,OVAL,NV,7/3/2000 15:30,"Las Vegas , NV"
16778,Cottage Grove,,RECTANGLE,WA,7/3/2000 17:00,"Cottage Grove , WA"
16779,Meridian,,OTHER,ID,7/3/2000 17:00,"Meridian , ID"
16780,Boston,,LIGHT,NY,7/3/2000 19:00,"Boston , NY"
16781,Anderson,,LIGHT,CA,7/3/2000 21:45,"Anderson , CA"
16782,Colebrook,,VARIOUS,NH,7/3/2000 22:30,"Colebrook , NH"
16783,Colorado Springs,,LIGHT,CO,7/4/2000 2:30,"Colorado Springs , CO"
16784,Columbus,,LIGHT,GA,7/4/2000 3:00,"Columbus , GA"
16785,Loves Park,,CIGAR,IL,7/4/2000 17:30,"Loves Park , IL"
16786,Potsdam,,TRIANGLE,NY,7/4/2000 18:00,"Potsdam , NY"
16787,St. Louis,,FIREBALL,MO,7/4/2000 20:40,"St. Louis , MO"
16788,Pacific City,,LIGHT,OR,7/4/2000 21:00,"Pacific City , OR"
16789,Urbandale,,LIGHT,IA,7/4/2000 21:00,"Urbandale , IA"
16790,Windsor Heights,RED,LIGHT,IA,7/4/2000 21:00,"Windsor Heights , IA"
16791,Des Moines,,LIGHT,IA,7/4/2000 21:30,"Des Moines , IA"
16792,Conyers,RED,LIGHT,GA,7/4/2000 21:45,"Conyers , GA"
16793,Tacoma,RED,LIGHT,WA,7/4/2000 21:50,"Tacoma , WA"
16794,Des Moines,,LIGHT,IA,7/4/2000 22:00,"Des Moines , IA"
16795,Tacoma,RED,CIRCLE,WA,7/4/2000 22:00,"Tacoma , WA"
16796,West Des Moines,,CIRCLE,IA,7/4/2000 22:00,"West Des Moines , IA"
16797,Puyallup,,CIRCLE,WA,7/4/2000 22:15,"Puyallup , WA"
16798,Riverview,ORANGE,CIRCLE,FL,7/4/2000 22:15,"Riverview , FL"
16799,Tacoma,RED,LIGHT,WA,7/4/2000 22:25,"Tacoma , WA"
16800,Houston,RED,FIREBALL,TX,7/4/2000 22:30,"Houston , TX"
16801,Tacoma,RED,LIGHT,WA,7/4/2000 22:30,"Tacoma , WA"
16802,Tacoma,RED ORANGE,OTHER,WA,7/4/2000 22:30,"Tacoma , WA"
16803,Oakland,,TRIANGLE,MD,7/4/2000 23:00,"Oakland , MD"
16804,Toledo,,TRIANGLE,OH,7/4/2000 23:00,"Toledo , OH"
16805,Interlochen,,LIGHT,MI,7/4/2000 23:15,"Interlochen , MI"
16806,Graham,RED BLUE,CIGAR,WA,7/4/2000 23:30,"Graham , WA"
16807,Roslyn,,LIGHT,WA,7/4/2000 23:30,"Roslyn , WA"
16808,Seattle,GREEN,LIGHT,WA,7/5/2000 5:47,"Seattle , WA"
16809,Wildwood Coast,,CYLINDER,NJ,7/5/2000 16:00,"Wildwood Coast , NJ"
16810,Schnecksville,,OVAL,PA,7/5/2000 19:30,"Schnecksville , PA"
16811,San Diego,,CIGAR,CA,7/5/2000 20:20,"San Diego , CA"
16812,Kingman,,OTHER,AZ,7/5/2000 21:00,"Kingman , AZ"
16813,Corvallis,,OTHER,OR,7/5/2000 22:15,"Corvallis , OR"
16814,Lincon City,,CROSS,OR,7/6/2000 0:30,"Lincon City , OR"
16815,Easton,,SPHERE,PA,7/6/2000 1:00,"Easton , PA"
16816,Rockford,ORANGE,VARIOUS,IL,7/6/2000 20:15,"Rockford , IL"
16817,Marinette,GREEN,CYLINDER,WI,7/6/2000 20:30,"Marinette , WI"
16818,Thornton,,CYLINDER,CO,7/6/2000 20:30,"Thornton , CO"
16819,Thornton,YELLOW,CYLINDER,CO,7/6/2000 20:30,"Thornton , CO"
16820,South Ontario,,CYLINDER,CA,7/6/2000 20:45,"South Ontario , CA"
16821,Columbia,,TRIANGLE,MO,7/6/2000 21:30,"Columbia , MO"
16822,Barstow,,CIGAR,CA,7/6/2000 22:00,"Barstow , CA"
16823,Salt Lake City,,OTHER,UT,7/6/2000 23:14,"Salt Lake City , UT"
16824,Babylon,,FORMATION,NY,7/6/2000 23:20,"Babylon , NY"
16825,Highland Park,,FIREBALL,IL,7/7/2000 1:00,"Highland Park , IL"
16826,Frederick,,SPHERE,MD,7/7/2000 1:45,"Frederick , MD"
16827,Cleveland,ORANGE,,OH,7/7/2000 4:15,"Cleveland , OH"
16828,Cadillac,,OVAL,MI,7/7/2000 12:05,"Cadillac , MI"
16829,Santa Clara,,LIGHT,CA,7/7/2000 20:30,"Santa Clara , CA"
16830,Citrus Heights,BLUE,OTHER,CA,7/7/2000 21:00,"Citrus Heights , CA"
16831,Los Angeles,,LIGHT,CA,7/7/2000 21:00,"Los Angeles , CA"
16832,San Diego,GREEN,LIGHT,CA,7/7/2000 21:00,"San Diego , CA"
16833,Woodland,,CONE,CA,7/7/2000 21:10,"Woodland , CA"
16834,Los Angeles,BLUE,LIGHT,CA,7/7/2000 21:15,"Los Angeles , CA"
16835,Sunnyvale,BLUE,CIRCLE,CA,7/7/2000 21:20,"Sunnyvale , CA"
16836,Sunnyvale,BLUE,CIRCLE,CA,7/7/2000 21:20,"Sunnyvale , CA"
16837,Visalia,BLUE,LIGHT,CA,7/7/2000 21:20,"Visalia , CA"
16838,Red Rock Canyon,,OVAL,NV,7/7/2000 21:21,"Red Rock Canyon , NV"
16839,Red Bluff,,FIREBALL,CA,7/7/2000 21:22,"Red Bluff , CA"
16840,West Covina,BLUE,LIGHT,CA,7/7/2000 21:25,"West Covina , CA"
16841,Covina,BLUE,OVAL,CA,7/7/2000 21:30,"Covina , CA"
16842,Kingman,,LIGHT,AZ,7/7/2000 21:30,"Kingman , AZ"
16843,Las Vegas,GREEN,LIGHT,NV,7/7/2000 21:30,"Las Vegas , NV"
16844,Los Angeles,,SPHERE,CA,7/7/2000 21:30,"Los Angeles , CA"
16845,Pacific Palisades,GREEN BLUE,OTHER,CA,7/7/2000 21:30,"Pacific Palisades , CA"
16846,Sacramento,,FIREBALL,CA,7/7/2000 21:30,"Sacramento , CA"
16847,Santa Rosa,BLUE,LIGHT,CA,7/7/2000 21:30,"Santa Rosa , CA"
16848,Tacna,,LIGHT,AZ,7/7/2000 21:30,"Tacna , AZ"
16849,Thermal,BLUE,LIGHT,CA,7/7/2000 21:30,"Thermal , CA"
16850,Tonapah,,,NV,7/7/2000 21:30,"Tonapah , NV"
16851,Riveside,,LIGHT,CA,7/7/2000 21:35,"Riveside , CA"
16852,Sacramento,,RECTANGLE,CA,7/7/2000 21:35,"Sacramento , CA"
16853,Kingston Springs,RED,FIREBALL,TN,7/7/2000 22:00,"Kingston Springs , TN"
16854,Winnemucca,GREEN,LIGHT,NV,7/7/2000 22:10,"Winnemucca , NV"
16855,St. George,,LIGHT,UT,7/7/2000 22:30,"St. George , UT"
16856,North San Francisco,,DISK,CA,7/8/2000 15:22,"North San Francisco , CA"
16857,Ceres,,,CA,7/8/2000 20:00,"Ceres , CA"
16858,Poway,BLUE,,CA,7/8/2000 20:30,"Poway , CA"
16859,Stanwood - I-5 corridor,RED,FIREBALL,WA,7/8/2000 21:50,"Stanwood - I-5 corridor , WA"
16860,Santa Rosa,GREEN,LIGHT,CA,7/8/2000 22:00,"Santa Rosa , CA"
16861,Salem,RED,,OR,7/8/2000 22:50,"Salem , OR"
16862,Steubenville,,TRIANGLE,OH,7/8/2000 23:00,"Steubenville , OH"
16863,Paint Lick,,,KY,7/8/2000 23:25,"Paint Lick , KY"
16864,Klamath National Wildlife Refuge,BLUE,CYLINDER,OR,7/9/2000 7:45,"Klamath National Wildlife Refuge , OR"
16865,Torrington,,LIGHT,CT,7/9/2000 8:30,"Torrington , CT"
16866,Franklin Square,,,NY,7/9/2000 9:15,"Franklin Square , NY"
16867,Palmer,,,MA,7/9/2000 12:00,"Palmer , MA"
16868,Salt Lake City,,OVAL,UT,7/9/2000 18:00,"Salt Lake City , UT"
16869,Satellite Beach,,OTHER,FL,7/9/2000 20:30,"Satellite Beach , FL"
16870,Milwaukie,,LIGHT,OR,7/10/2000 1:40,"Milwaukie , OR"
16871,Evanston,,OTHER,IL,7/10/2000 3:00,"Evanston , IL"
16872,Commerce City,,LIGHT,CO,7/10/2000 12:15,"Commerce City , CO"
16873,Virginia Beach,,,VA,7/10/2000 13:00,"Virginia Beach , VA"
16874,Big Pine,,OTHER,CA,7/10/2000 17:00,"Big Pine , CA"
16875,Tomah,,CIGAR,WI,7/10/2000 19:00,"Tomah , WI"
16876,Downers Grove,,SPHERE,IL,7/10/2000 20:00,"Downers Grove , IL"
16877,Redland,,CIRCLE,OR,7/10/2000 20:30,"Redland , OR"
16878,St. George Island,ORANGE,TRIANGLE,FL,7/10/2000 23:15,"St. George Island , FL"
16879,Flagstaff,,OTHER,AZ,7/10/2000 23:30,"Flagstaff , AZ"
16880,Salem,,,OR,7/11/2000 0:30,"Salem , OR"
16881,Shohola Falls,,LIGHT,PA,7/11/2000 2:30,"Shohola Falls , PA"
16882,Bridgewater,,VARIOUS,CT,7/11/2000 3:30,"Bridgewater , CT"
16883,Torrington,,SPHERE,CT,7/11/2000 9:00,"Torrington , CT"
16884,Nashville,,SPHERE,TN,7/12/2000 0:00,"Nashville , TN"
16885,Franklin,,DISK,PA,7/12/2000 1:56,"Franklin , PA"
16886,Rim Rock,,CIRCLE,AZ,7/12/2000 9:57,"Rim Rock , AZ"
16887,Portland,,CYLINDER,OR,7/12/2000 18:30,"Portland , OR"
16888,Spring Glen,,DISK,NY,7/12/2000 19:50,"Spring Glen , NY"
16889,Gilbert,RED,,AZ,7/12/2000 20:00,"Gilbert , AZ"
16890,Gilbert,RED,LIGHT,AZ,7/12/2000 20:00,"Gilbert , AZ"
16891,Scottsdale,,FIREBALL,AZ,7/12/2000 20:00,"Scottsdale , AZ"
16892,Gilbert,,CIRCLE,AZ,7/12/2000 20:10,"Gilbert , AZ"
16893,Gilbert,,DIAMOND,AZ,7/12/2000 20:10,"Gilbert , AZ"
16894,Gilbert,RED,DIAMOND,AZ,7/12/2000 20:10,"Gilbert , AZ"
16895,Gilbert,,FIREBALL,AZ,7/12/2000 20:10,"Gilbert , AZ"
16896,Chandler,RED,CIRCLE,AZ,7/12/2000 20:19,"Chandler , AZ"
16897,Glendale,RED,LIGHT,AZ,7/12/2000 20:30,"Glendale , AZ"
16898,Gilbert,,LIGHT,AZ,7/12/2000 20:35,"Gilbert , AZ"
16899,Falfurias,RED,LIGHT,TX,7/12/2000 22:00,"Falfurias , TX"
16900,Casa,GREEN,CIGAR,AR,7/12/2000 23:00,"Casa , AR"
16901,Route 280  Exit 1,,EGG,NJ,7/12/2000 23:00,"Route 280  Exit 1 , NJ"
16902,Sherman,,LIGHT,NY,7/12/2000 23:30,"Sherman , NY"
16903,Gilbert,RED,CIRCLE,AZ,7/13/2000 19:25,"Gilbert , AZ"
16904,Gilbert,,DIAMOND,AZ,7/13/2000 19:54,"Gilbert , AZ"
16905,Gilbert,,CIRCLE,AZ,7/13/2000 20:00,"Gilbert , AZ"
16906,Gilbert,RED,LIGHT,AZ,7/13/2000 20:00,"Gilbert , AZ"
16907,Glendale,RED,FIREBALL,AZ,7/13/2000 20:00,"Glendale , AZ"
16908,Gilbert,RED,CIRCLE,AZ,7/13/2000 20:10,"Gilbert , AZ"
16909,Addison,,CIRCLE,NY,7/13/2000 21:30,"Addison , NY"
16910,Monterey Park,,CIGAR,CA,7/13/2000 22:00,"Monterey Park , CA"
16911,Onalaska,,FIREBALL,WI,7/13/2000 22:23,"Onalaska , WI"
16912,Norristown,,LIGHT,PA,7/13/2000 23:15,"Norristown , PA"
16913,Summit,,DISK,NJ,7/13/2000 23:40,"Summit , NJ"
16914,Portland,BLUE,FLASH,OR,7/14/2000 2:00,"Portland , OR"
16915,Pasquag,,CIRCLE,RI,7/14/2000 2:30,"Pasquag , RI"
16916,Fresno,,,CA,7/14/2000 3:00,"Fresno , CA"
16917,Greensburg,,OTHER,PA,7/14/2000 3:00,"Greensburg , PA"
16918,Troy,,DISK,NY,7/14/2000 3:00,"Troy , NY"
16919,Oklahoma City,,CIGAR,OK,7/14/2000 17:40,"Oklahoma City , OK"
16920,Memphis,,TRIANGLE,TN,7/14/2000 18:00,"Memphis , TN"
16921,Ragly,,,LA,7/14/2000 21:00,"Ragly , LA"
16922,Quincy,,EGG,CA,7/14/2000 22:20,"Quincy , CA"
16923,Tooele,,,UT,7/14/2000 22:30,"Tooele , UT"
16924,Little Rock,,LIGHT,AR,7/14/2000 23:00,"Little Rock , AR"
16925,Olympia,,LIGHT,WA,7/14/2000 23:00,"Olympia , WA"
16926,Sikeston,,CHEVRON,MO,7/14/2000 23:30,"Sikeston , MO"
16927,Thibodaux,ORANGE,FIREBALL,LA,7/14/2000 23:30,"Thibodaux , LA"
